productCode,name,category,initialStock,reorderPoint,unitOfMeasure,status,maxStock
P001,Mechanical Keyboard,Hardware,0,30,pcs,REORDERING,100
P002,Wireless Mouse,Hardware,84,25,pcs,ACTIVE,150
P003,USB-C Cable 1m,Accessories,300,60,pcs,ACTIVE,500
P004,USB-C Cable 2m,Accessories,180,50,pcs,ACTIVE,350
P005,27inch Monitor,Hardware,40,10,pcs,ACTIVE,80
P006,Laptop Stand Aluminum,Accessories,75,20,pcs,ACTIVE,100
P007,Notebook A4,Stationery,250,50,pcs,ACTIVE,300
P008,Blue Ballpoint Pen,Stationery,500,100,pcs,ACTIVE,500
P009,Office Chair,Office,15,5,pcs,ACTIVE,30
P010,Desk Lamp LED,Office,28,10,pcs,ACTIVE,30
P011,External SSD 1TB,Hardware,22,10,pcs,ACTIVE,30
P012,HDMI Cable,Accessories,25,30,pcs,INACTIVE,30
P013,Printer Paper A4,Stationery,400,80,pcs,ACTIVE,400
P014,Webcam HD,Hardware,18,10,pcs,ACTIVE,20
P015,Headphones Wireless,Hardware,55,20,pcs,ACTIVE,60
P016,Smartphone Stand,Accessories,95,25,pcs,ACTIVE,100
P017,Whiteboard Marker,Stationery,60,40,pcs,ACTIVE,80
P018,Router WiFi,Hardware,12,8,pcs,ACTIVE,15
P019,Power Strip 6 sockets,Office,33,15,pcs,ACTIVE,40
P020,Desk Organizer,Office,70,20,pcs,ACTIVE,100
